<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRF,D,20090115,000000,6.4885,6.4885,6.4885,6.4885,1,0
PRF,D,20090116,000000,6.4932,6.4932,6.4932,6.4932,1,0
PRF,D,20090119,000000,6.5025,6.5025,6.0727,6.4325,777,0
PRF,D,20090120,000000,6.5025,6.5025,6.5025,6.5025,1,0
PRF,D,20090121,000000,6.3998,6.3998,6.0494,6.3905,350,0
PRF,D,20090122,000000,6.4979,6.4979,6.4979,6.4979,1,0
PRF,D,20090123,000000,6.4932,6.4932,6.3017,6.3063,312,0
PRF,D,20090126,000000,6.3063,6.3063,5.9092,6.3017,201,0
PRF,D,20090127,000000,6.3017,6.3017,6.3017,6.3017,1,0
PRF,D,20090128,000000,6.3017,6.3017,6.3017,6.3017,1,0
PRF,D,20090129,000000,6.2596,6.2596,6.2596,6.2596,87,0
PRF,D,20090130,000000,6.2596,6.2596,5.8859,6.2082,668,0
PRF,D,20090202,000000,6.2082,6.2082,6.2082,6.2082,1,0
PRF,D,20090203,000000,6.2082,6.2082,6.2082,6.2082,1,0
PRF,D,20090204,000000,6.0727,6.2082,6.0727,6.2082,109,0
PRF,D,20090205,000000,6.2082,6.2082,6.2082,6.2082,1,0
PRF,D,20090206,000000,6.2082,6.2783,6.2082,6.2783,357,0
PRF,D,20090209,000000,6.2829,6.2829,6.2829,6.2829,1,0
PRF,D,20090210,000000,6.2596,6.2596,6.255,6.2596,216,0
PRF,D,20090211,000000,6.255,6.255,6.255,6.255,1,0
PRF,D,20090212,000000,6.255,6.255,6.255,6.255,1,0
PRF,D,20090213,000000,6.255,6.2596,6.255,6.2596,205,0
PRF,D,20090216,000000,6.2596,6.2596,6.2596,6.2596,1,0
PRF,D,20090217,000000,6.1616,6.1616,5.4609,5.4609,12859,0
PRF,D,20090218,000000,5.8159,5.8159,5.5589,5.5589,4850,0
PRF,D,20090219,000000,5.6009,5.6009,5.6009,5.6009,1,0
PRF,D,20090220,000000,5.6009,5.6009,5.1385,5.5589,1579,0
PRF,D,20090223,000000,5.6055,5.6055,5.6009,5.6009,2,0
PRF,D,20090224,000000,5.5916,5.5916,5.5916,5.5916,1,0
PRF,D,20090225,000000,5.6055,5.6055,5.6055,5.6055,1,0
PRF,D,20090226,000000,5.6055,5.6055,5.6055,5.6055,1,0
PRF,D,20090227,000000,5.2319,5.2366,5.2319,5.2319,448,0
PRF,D,20090302,000000,5.5589,5.5589,5.5589,5.5589,216,0
PRF,D,20090303,000000,5.5121,5.5121,5.0685,5.1385,16612,0
PRF,D,20090304,000000,5.5543,5.5543,5.0451,5.4888,932,0
PRF,D,20090305,000000,5.4888,5.4888,5.4888,5.4888,1,0
PRF,D,20090306,000000,5.4842,5.4842,5.4842,5.4842,1,0
PRF,D,20090309,000000,5.5543,5.5543,5.5543,5.5543,1,0
PRF,D,20090310,000000,5.5402,5.5402,5.1385,5.5121,3108,0
PRF,D,20090311,000000,5.5402,5.5402,5.5121,5.5121,98,0
PRF,D,20090312,000000,5.5402,5.5402,5.5402,5.5402,1,0
PRF,D,20090313,000000,5.5402,5.5496,5.5402,5.5496,1215,0
PRF,D,20090316,000000,5.5543,5.5543,5.1385,5.3814,895,0
PRF,D,20090317,000000,5.3814,5.6898,5.3814,5.5121,4769,0
PRF,D,20090318,000000,5.6102,5.6102,5.6102,5.6102,1,0
PRF,D,20090319,000000,5.6055,5.6898,5.4187,5.6898,1174,0
PRF,D,20090320,000000,5.6898,5.6898,5.6898,5.6898,1,0
PRF,D,20090323,000000,5.6617,5.6664,5.4187,5.6664,786,0
PRF,D,20090324,000000,5.6055,5.671,5.4281,5.671,3914,0
PRF,D,20090325,000000,5.6898,5.8392,5.4655,5.8019,3763,0
PRF,D,20090326,000000,5.7924,5.8019,5.7924,5.8019,1082,0
PRF,D,20090327,000000,5.8019,5.8019,5.6055,5.8019,193,0
PRF,D,20090330,000000,5.7972,5.7972,5.7972,5.7972,2,0
PRF,D,20090331,000000,5.8019,5.8019,5.8019,5.8019,1,0
PRF,D,20090401,000000,5.8019,5.8019,5.6055,5.8019,212,0
PRF,D,20090402,000000,5.8019,5.8859,5.8019,5.8859,1964,0
PRF,D,20090403,000000,5.8859,6.2783,5.699,6.0774,4282,0
PRF,D,20090406,000000,6.2363,6.2596,5.8906,6.2363,1713,0
PRF,D,20090407,000000,6.2363,6.2596,5.8952,6.2596,503,0
PRF,D,20090408,000000,6.2783,6.2783,6.026,6.2596,2229,0
PRF,D,20090409,000000,6.2596,6.2596,6.2596,6.2596,1,0
